keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Erdbeben Aufräumarbeiten',0.18227508890575678,0.47031871893428284,0.2702506035122848,1.440046673958223,8.0
'Erdbeben Epizentrum',0.18548852177446232,0.8854620742322663,-0.1453162827277673,0.837195286705599,66.0
'Erdbeben Erdplatte',0.16531080280771818,0.9687030297007803,0.297372843194497,1.5324955709323358,7.0
'Erdbeben Hilfsgüter',0.3018657749242549,1.1129124469889495,-0.09675189727987946,0.823107860247691,13.0
'Erdbeben Plattengrenze',0.5494473159573523,1.1678090376890717,0.07100630224787896,0.7612762832872673,4.0
'Erdbeben Rettungsarbeiten',-0.33569966826959485,0.9113237968923021,-0.2900914092926567,0.5824102553023855,20.0
'Erdbeben Rettungskräfte',-0.4040333012683476,1.0936263108980333,-0.05060186291680372,0.9462132823483453,37.0
'Erdbeben Schäden',0.11137221224394435,0.924951294047359,-0.05042905605198378,0.9281124318682996,144.0
'Erdbeben Spenden',0.04264300997596946,0.9572472609017045,0.23705004222777604,1.2682639990496658,10.0
'Erdbeben Tote',-0.21537386176422765,0.9295404050080045,0.48226627345662626,1.4896270595456986,139.0
'Erdbeben Trümmer',-0.3652875573644702,1.1672799730520778,-0.022735552486473545,0.8877269452740507,46.0
'Erdbeben Verletzte',0.03315579682466131,0.9610386211533549,0.23611294611123637,1.1255389851048383,82.0
'Erdbeben Verwerfung',0.08710624448383752,1.058570495306169,-0.025460157089835636,1.008439352419228,13.0
'Erdbeben verschüttet',-0.5493796606949432,1.246966138800067,-0.26373753704612024,0.8604939185721453,21.0
'Erdbeben Überlebende',-0.5172879997518355,0.9947809393798831,0.29761906655032394,1.1302639510912327,39.0
'Erdbeben',0.008544816571786597,0.9871985299500792,-0.04037666839362706,0.9307705553174216,1252.0
'Schwarmbeben',0.4555469170308603,0.5032204661578245,0.3396137447788699,1.228885963514525,5.0
'erdbebensicher',0.19769475189228417,0.5951799971354866,-0.023038254319941633,0.682260420930207,7.0
'schweres Erdbeben',0.29691086263951405,0.8227564789875395,-0.2987718592907594,0.48598214543057117,58.0
'starkes Erdbeben',0.42738102591240407,0.946492858924846,-0.09966092478313031,0.8482448369285802,66.0
