,summary,Impacts,Mitigation,Hazard,Causes,word
schreien,8.024681552229307,0.017648336545412858,-0.0214285090026477,-0.0025242464404130597,0.009685248659365571,schreien
schmerz+en schrei+en,5.631957526613281,-0.005813530969432869,-0.01941724598395862,0.0072634095023987495,0.022098913856341707,schmerz+en schrei+en
schrei+en hilfe,5.90158216883251,-0.0061321827380560415,-0.01848269439752278,0.007066272406418302,0.021528149498973817,schrei+en hilfe
hilfe komm+t,6.304709206671417,-0.006561936188024599,-0.017201442059503923,0.006793848165452288,0.02073796340393606,hilfe komm+t
komm+t schon,7.6560780485750835,-0.007702378677935566,-0.013678127805686106,0.006032110869486858,0.01852000916744609,komm+t schon
harren,6.038362767223085,-0.006283843162677488,-0.01803331788669498,0.006971006956444349,0.021252013828397205,harren
sie harr+en,6.038362767223085,-0.006283843162677488,-0.01803331788669498,0.006971006956444349,0.021252013828397205,sie harr+en
harr+en +1836,5.798148726663124,-0.006013160301349418,-0.018833279159331577,0.007140381667762317,0.021742819883284557,harr+en +1836
Frauenhasser,6.0145065263202016,-0.006257844897664061,-0.01811056497289249,0.006987404710042503,0.02129955878559465,Frauenhasser
der frau+en+haß+er,6.0145065263202016,-0.006257844897664061,-0.01811056497289249,0.006987404710042503,0.02129955878559465,der frau+en+haß+er
frau+en+haß+er hundert+e,6.528428814892231,-0.006779623236177393,-0.016543001636058197,0.006652887438510698,0.02032845343819015,frau+en+haß+er hundert+e
hundert+e million+en,6.879425332955219,-0.007095471887145841,-0.015576029969112153,0.0064447048620854056,0.01972287227977169,hundert+e million+en
million+en deutschland,7.6560780485750835,-0.007702378677935566,-0.013678127805686106,0.006032110869486858,0.01852000916744609,million+en deutschland
bekommen,11.19573209989671,-0.009521145363717365,-0.0076591600783056475,0.004690507321363326,0.014586309260120951,bekommen
deutschland bekomm+en,8.78226683043973,-0.008414248909689555,-0.011382611380520977,0.005526211936312004,0.017040520735061192,deutschland bekomm+en
bekomm+en nach,10.364776008443163,-0.009188368188635387,-0.008798505037867627,0.0049481300943246195,0.01534415254752392,bekomm+en nach
afghanistan werd+en,13.741341292596802,-0.010332715474636928,-0.004809345973351811,0.0040392429134389375,0.012665789736497715,afghanistan werd+en
weibliche,12.632367785375779,-0.010011284104432779,-0.005949999412002477,0.004301057662959817,0.013438640249366004,weibliche
